"subject_id","trial","block","condition","stim1","size","position","gabor.contrast","response","expected_response","rt_gabor","max_speed","x_pos","y_pos","center_dist","total_dist","accuracy_gabor","avr_speed","move_start_time","OOZ_time","SDT","pressed_conf","conf","rt_conf","trial_start_time_rel2exp","exp_start_date"
1,45,2,"A",90,"big","up",0.043,"left","left",2.1349,74.8092710131647,-11.2735,7.2521,1.89291555570719,13.9818048247523,1,6.2787109479775,0.73845750000055,1.45495670000037,"CR","TL",2,1.0889,280677,NA
1,46,2,"A",90,"small","mid",0.043,"left","left",2.0499,65.8521717616237,-14.956,-0.0226,0.0494831668663841,15.0406762361728,1,7.29600460724614,1.2207441999999,1.28871439999966,"CR","BR",3,1.1419,286044,NA
1,47,2,"A",90,"big","mid",0.043,"right","left",2.1683,87.9678509606358,15.2045,-0.7004,0.729597907579927,15.2371723215759,0,7.01970423591846,1.38896019999993,1.4389914000003,"FA","TL",1,1.2394,291477,NA
1,48,2,"A",0,"big","mid",0.043,"left","right",2.9162,70.3114654380438,-13.5553,-0.9715,1.74097565949324,13.6872774692162,0,4.66025518280726,1.83911619999981,2.08592339999996,"miss","TR",1,1.0449,297227,NA
1,49,3,"A",0,"big","up",0.043,"right","right",2.0831,40.4594125272237,10.8894,7.5684,1.8119177594473,13.4366904269137,1,6.36593105727508,1.1044122000003,1.22226330000012,"hit","TL",2,0.9077,319928,NA
1,50,3,"A",90,"small","down",0.043,"right","left",2.1009,47.426944305743,12.019,-9.082,0.0841992727341828,15.3178776586601,0,7.1704081901671,1.02126780000071,1.16912570000022,"FA","TR",2,1.4732,325261,NA
1,51,3,"A",0,"small","down",0.043,"left","right",1.9002,74.296503198421,-12.019,-9.0368,0.0414542719259865,16.7497141606259,0,7.91340937372621,0.668920699999944,0.805622299999413,"miss","TR",2,1.1952,330977,NA
1,52,3,"A",90,"small","up",0.043,"left","left",1.9163,52.6661427985441,-11.9964,8.8561,0.143938620220244,15.0015789763113,1,7.78105559593188,0.852548800000477,1.0533919999998,"CR","TL",3,1.1804,336410,NA
1,53,3,"A",0,"small","up",0.043,"right","right",2.1519,69.9185667795557,12.0868,8.8109,0.20804050051595,15.2605561736265,1,6.95065188071518,0.90274110000064,1.14098190000004,"hit","BR",3,1.6213,341646,NA
1,54,3,"A",90,"small","up",0.043,"left","left",2.0835,92.2770977274646,-12.019,8.9465,0.0567980170459355,15.9860389126596,1,7.19138228578516,0.821171399999912,1.3217396,"CR","TR",2,0.9254,347560,NA
1,55,3,"A",90,"small","down",0.043,"left","left",2.2666,51.3027335133836,-12.1997,-9.1046,0.225478425095076,15.4309959656141,1,6.71593416511925,1.32148120000056,1.58575800000017,"CR","TR",3,0.8431,352712,NA
1,56,3,"A",0,"small","mid",0.043,"right","right",1.6838,53.5579405889944,15.2271,-0.0452,0.231532235024425,15.3101945507616,1,9.04322918530648,0.751672899999903,0.852193099999567,"hit","BL",2,0.9611,357962,NA
1,57,3,"A",90,"big","down",0.043,"left","left",2.5333,54.1364088721404,-13.2616,-7.8621,1.69896264297722,18.6544107756345,1,6.08580417661333,0.757698099999288,0.901839899999686,"CR","TR",3,2.4263,362845,NA
1,58,3,"A",0,"big","down",0.043,"right","right",1.9172,66.3714419473357,10.6635,-9.1498,1.3448943306193,14.6484853284401,1,7.3288448618867,0.722068899999613,1.25528779999968,"hit","TR",1,1.0077,370143,NA
1,59,3,"A",90,"big","mid",0.043,"left","left",2.0003,52.3811112600667,-13.2842,-0.1807,1.72533336921934,13.6069626664442,1,6.64186412310822,1.05246079999961,1.32167389999995,"CR","BR",2,2.0116,375210,NA
1,60,3,"A",90,"big","mid",0.043,"right","left",1.4994,47.1579576275506,13.3519,-0.2711,1.67021387257214,13.3773451701152,0,8.90670380947988,0.65540989999954,0.819214999999531,"FA","BL",2,1.494,381560,NA
1,61,3,"A",90,"big","up",0.043,"left","left",1.8674,51.9154256181934,-11.3412,7.4328,1.70002133530772,13.7487811467242,1,7.26138816872124,0.971996799999943,1.14118800000051,"CR","BL",1,1.2233,386894,NA
1,62,3,"A",90,"small","mid",0.043,"left","left",2.8001,92.1615251223033,-15.1593,0,0.159304197187328,21.6625215233055,1,5.413814280144,1.27224429999933,1.73755889999939,"CR","TR",1,1.2436,397475,NA
1,63,3,"A",0,"small","down",0.043,"right","right",2.0828,92.6626036204245,12.2901,-8.9691,0.291751038112572,15.3899128383779,1,7.30510811294854,0.554432099999758,1.26872180000009,"hit","TR",1,1.3451,403659,NA
1,64,3,"A",90,"small","mid",0.043,"right","left",1.9847,128.166584901273,15.0012,-0.0226,0.0226218398028459,15.8259612311265,0,7.55825544967078,0.605386199999884,1.30664879999949,"FA","BR",2,1.7254,409426,NA
1,65,3,"A",0,"big","mid",0.043,"left","right",2.1512,71.538510822778,-13.6456,-0.7681,1.55702801741783,13.7838239508766,0,6.35325629494495,1.12092400000074,1.6780744000007,"miss","BR",1,0.8595,415475,NA
1,66,3,"A",0,"small","up",0.043,"left","right",2.8661,48.7572851686045,-11.9512,8.9691,0.0577570484757742,15.530829519541,0,5.21341903939274,1.46872209999947,1.76935989999947,"miss","TL",1,2.2264,420827,NA
